title,price,color,color1,color2,color3,size,model,url,extraction_date,extraction_hour,asin2,asin2
"Stanley Go Growler, Stainless Steel Vacuum Insulated Beer Growler, Rugged Growler with Stainless Steel Interior, 24 Hours Cold and 4 Days Ice Retention, Matte Black, 64 OZ / 1.90 L",$58.50,unknown,black,N/A,unknown,64,unknown,https://www.amazon.ca/dp/B086CT6XGZ,2024-08-09,20:30:17,B086CT6XGZ,B086CT6XGZ
N/A,N/A,N/A,unknown,N/A,N/A,unknown,unknown,https://www.amazon.ca/dp/B000FZX93U,2024-08-09,20:30:20,N/A,N/A
N/A,N/A,N/A,unknown,N/A,N/A,unknown,unknown,https://www.amazon.ca/dp/B0BSLY3KBJ,2024-08-09,20:30:24,N/A,N/A
N/A,N/A,N/A,unknown,N/A,N/A,unknown,unknown,https://www.amazon.ca/dp/B0CQ7VLLGY,2024-08-09,20:30:27,N/A,N/A
N/A,N/A,N/A,unknown,N/A,N/A,unknown,unknown,https://www.amazon.ca/dp/B0CQ1DBQS2,2024-08-09,20:30:30,N/A,N/A
"Stanley Go Growler, Stainless Steel Vacuum Insulated Beer Growler, Rugged Growler with Stainless Steel Interior, 24 Hours Cold and 4 Days Ice Retention, Matte Black, 64 OZ / 1.90 L",$58.50,unknown,black,N/A,unknown,64,unknown,https://www.amazon.ca/dp/B086CT6XGZ,2024-08-09,20:30:51,B086CT6XGZ,B086CT6XGZ
N/A,N/A,N/A,unknown,N/A,N/A,unknown,unknown,https://www.amazon.ca/dp/B000FZX93U,2024-08-09,20:30:54,N/A,N/A
"Stanley Go Growler, Stainless Steel Vacuum Insulated Beer Growler, Rugged Growler with Stainless Steel Interior, 24 Hours Cold and 4 Days Ice Retention, Matte Black, 64 OZ / 1.90 L",$58.50,unknown,black,N/A,unknown,64,unknown,https://www.amazon.ca/dp/B086CT6XGZ,2024-08-09,20:32:17,B086CT6XGZ,B086CT6XGZ
"Stanley Go Growler, Stainless Steel Vacuum Insulated Beer Growler, Rugged Growler with Stainless Steel Interior, 24 Hours Cold and 4 Days Ice Retention, Matte Black, 64 OZ / 1.90 L",$58.50,unknown,black,N/A,unknown,64,unknown,https://www.amazon.ca/dp/B086CT6XGZ,2024-08-09,20:38:44,B086CT6XGZ,B086CT6XGZ
N/A,N/A,N/A,unknown,N/A,N/A,unknown,unknown,https://www.amazon.ca/dp/B000FZX93U,2024-08-09,20:38:48,N/A,N/A
N/A,N/A,N/A,unknown,N/A,N/A,unknown,unknown,https://www.amazon.ca/dp/B0BSLY3KBJ,2024-08-09,20:38:51,N/A,N/A
N/A,N/A,N/A,unknown,N/A,N/A,unknown,unknown,https://www.amazon.ca/dp/B0CQ7VLLGY,2024-08-09,20:38:54,N/A,N/A
N/A,N/A,N/A,unknown,N/A,N/A,unknown,unknown,https://www.amazon.ca/dp/B0CQ1DBQS2,2024-08-09,20:38:57,N/A,N/A
N/A,N/A,N/A,unknown,N/A,N/A,unknown,unknown,https://www.amazon.ca/dp/B0CKBGHN3F,2024-08-09,20:39:00,N/A,N/A
N/A,N/A,N/A,unknown,N/A,N/A,unknown,unknown,https://www.amazon.ca/dp/B0C7SCYTVR,2024-08-09,20:39:04,N/A,N/A
N/A,N/A,N/A,unknown,N/A,N/A,unknown,unknown,https://www.amazon.ca/dp/B0C4FVLH66,2024-08-09,20:39:07,N/A,N/A
N/A,N/A,N/A,unknown,N/A,N/A,unknown,unknown,https://www.amazon.ca/dp/B0CTCQK4F9,2024-08-09,20:39:10,N/A,N/A
"Stanley Go Growler, Stainless Steel Vacuum Insulated Beer Growler, Rugged Growler with Stainless Steel Interior, 24 Hours Cold and 4 Days Ice Retention, Matte Black, 64 OZ / 1.90 L",$58.50,unknown,black,N/A,unknown,64,unknown,https://www.amazon.ca/dp/B086CT6XGZ,2024-08-09,20:45:50,B086CT6XGZ,B086CT6XGZ
N/A,N/A,N/A,unknown,N/A,N/A,unknown,unknown,https://www.amazon.ca/dp/B000FZX93U,2024-08-09,20:45:54,N/A,N/A
N/A,N/A,N/A,unknown,N/A,N/A,unknown,unknown,https://www.amazon.ca/dp/B0BSLY3KBJ,2024-08-09,20:45:57,N/A,N/A
N/A,N/A,N/A,unknown,N/A,N/A,unknown,unknown,https://www.amazon.ca/dp/B0CQ7VLLGY,2024-08-09,20:46:00,N/A,N/A
N/A,N/A,N/A,unknown,N/A,N/A,unknown,unknown,https://www.amazon.ca/dp/B0CQ1DBQS2,2024-08-09,20:46:03,N/A,N/A
N/A,N/A,N/A,unknown,N/A,N/A,unknown,unknown,https://www.amazon.ca/dp/B0CKBGHN3F,2024-08-09,20:46:06,N/A,N/A
N/A,N/A,N/A,unknown,N/A,N/A,unknown,unknown,https://www.amazon.ca/dp/B0C7SCYTVR,2024-08-09,20:46:09,N/A,N/A
N/A,N/A,N/A,unknown,N/A,N/A,unknown,unknown,https://www.amazon.ca/dp/B0C4FVLH66,2024-08-09,20:46:13,N/A,N/A
N/A,N/A,N/A,unknown,N/A,N/A,unknown,unknown,https://www.amazon.ca/dp/B0CTCQK4F9,2024-08-09,20:46:16,N/A,N/A
"Stanley Go Growler, Stainless Steel Vacuum Insulated Beer Growler, Rugged Growler with Stainless Steel Interior, 24 Hours Cold and 4 Days Ice Retention, Matte Black, 64 OZ / 1.90 L",$58.50,unknown,black,N/A,unknown,64,unknown,https://www.amazon.ca/dp/B086CT6XGZ,2024-08-09,20:48:23,B086CT6XGZ,B086CT6XGZ
N/A,N/A,N/A,unknown,N/A,N/A,unknown,unknown,https://www.amazon.ca/dp/B000FZX93U,2024-08-09,20:48:27,N/A,N/A
N/A,N/A,N/A,unknown,N/A,N/A,unknown,unknown,https://www.amazon.ca/dp/B0BSLY3KBJ,2024-08-09,20:48:30,N/A,N/A
N/A,N/A,N/A,unknown,N/A,N/A,unknown,unknown,https://www.amazon.ca/dp/B0CQ7VLLGY,2024-08-09,20:48:34,N/A,N/A
